#domain,ioc,ip
0--7.net,Possible ScreenConnect Domain (Unverified),154.194.50.63
0-0sc.com,Possible ScreenConnect Domain (Unverified),45.88.91.209
0-0x.xyz,Possible ScreenConnect Domain (Unverified),94.26.3.205
00-vic-ss-fwl-zpdpvmwwvc.dynamic-m.com,Possible MeshCentral RMM Domain (Unverified),66.187.114.44
003013.xyz,Possible Komari Monitor RMM Domain (Unverified),183.6.99.148
01230216.xyz,Possible Komari Monitor RMM Domain (Unverified),192.3.245.227
03.gk2web.com,Possible Splashtop RMM Domain (Unverified),85.10.199.216
0951.nx.cn,Possible Komari Monitor RMM Domain (Unverified),81.69.255.124
0conex.xyz,Possible ScreenConnect Domain (Unverified),107.149.8.163
0remix.xyz,Possible ScreenConnect Domain (Unverified),107.149.8.164
0xabitfield.com,Possible ScreenConnect Domain (Unverified),154.16.171.8
0xabitwise.com,Possible ScreenConnect Domain (Unverified),181.215.49.118
0xabyte.win,Possible ScreenConnect Domain (Unverified),147.124.195.120
0xacloud.com,Possible ScreenConnect Domain (Unverified),45.87.61.104
0xacode.win,Possible ScreenConnect Domain (Unverified),38.55.75.171
0xacontext.org,Possible ScreenConnect Domain (Unverified),191.96.101.236
0xadaemon.com,Possible ScreenConnect Domain (Unverified),193.177.220.34
0xafabric.com,Possible ScreenConnect Domain (Unverified),104.168.34.164
0xafetch.org,Possible ScreenConnect Domain (Unverified),45.43.11.82
0xaflux.com,Possible ScreenConnect Domain (Unverified),147.124.223.111
0xaflux.org,Possible ScreenConnect Domain (Unverified),38.18.231.158
0xaforge.com,Possible ScreenConnect Domain (Unverified),192.30.241.84
0xaframe.com,Possible ScreenConnect Domain (Unverified),154.16.171.91
0xaghosted.com,Possible ScreenConnect Domain (Unverified),38.18.228.131
0xagrid.com,Possible ScreenConnect Domain (Unverified),147.124.222.105
0xahandler.com,Possible ScreenConnect Domain (Unverified),198.37.105.199
0xahyper.com,Possible ScreenConnect Domain (Unverified),78.142.218.4
0xainstance.com,Possible ScreenConnect Domain (Unverified),78.142.218.61
0xakubernetes.com,Possible ScreenConnect Domain (Unverified),154.30.4.217
0xalens.com,Possible ScreenConnect Domain (Unverified),38.18.229.245
0xalog.win,Possible ScreenConnect Domain (Unverified),154.30.4.194
0xalyra.com,Possible ScreenConnect Domain (Unverified),154.30.4.202
0xalyra.com,Possible Splashtop RMM Domain (Unverified),154.30.4.202
0xamesh.com,Possible ScreenConnect Domain (Unverified),191.96.101.242
0xamesh.org,Possible ScreenConnect Domain (Unverified),181.215.242.90
0xapipeline.com,Possible ScreenConnect Domain (Unverified),154.39.0.23
0xapulse.win,Possible ScreenConnect Domain (Unverified),155.254.16.64
0xarion.com,Possible ScreenConnect Domain (Unverified),216.227.218.125
0xarouter.com,Possible ScreenConnect Domain (Unverified),104.250.238.103
0xaruntime.org,Possible ScreenConnect Domain (Unverified),38.18.231.143
0xashare.com,Possible ScreenConnect Domain (Unverified),147.124.197.234
0xaspect.com,Possible ScreenConnect Domain (Unverified),170.39.185.110
0xastruct.com,Possible ScreenConnect Domain (Unverified),38.18.228.187
0xasync.com,Possible ScreenConnect Domain (Unverified),151.244.232.33
0xatelemetry.com,Possible ScreenConnect Domain (Unverified),38.92.60.153
0xathread.com,Possible ScreenConnect Domain (Unverified),191.101.172.98
0xavector.com,Possible ScreenConnect Domain (Unverified),45.43.11.133
0xavector.com,Possible Splashtop RMM Domain (Unverified),45.43.11.133
0xjustice.space,Possible MeshCentral RMM Domain (Unverified),168.100.8.11
0z.hk,Possible Komari Monitor RMM Domain (Unverified),129.226.84.221
1-detroit.com,Possible Splashtop RMM Domain (Unverified),66.188.4.155
1.luoying.cyou,Possible Komari Monitor RMM Domain (Unverified),185.218.6.152
