#ip,ioc
1.116.241.31,Possible Cobaltstrike C2 IP
1.117.232.76,Possible Cobaltstrike C2 IP
1.117.60.10,Possible Cobaltstrike C2 IP
1.117.62.81,Possible Cobaltstrike C2 IP
1.12.242.190,Possible Cobaltstrike C2 IP
1.14.168.46,Possible Cobaltstrike C2 IP
1.14.194.206,Possible Cobaltstrike C2 IP
1.14.206.72,Possible Cobaltstrike C2 IP
1.14.67.242,Possible Cobaltstrike C2 IP
1.14.69.16,Possible Cobaltstrike C2 IP
1.15.247.249,Possible Cobaltstrike C2 IP
1.15.248.225,Possible Cobaltstrike C2 IP
1.92.109.24,Possible Cobaltstrike C2 IP
1.92.127.210,Possible Cobaltstrike C2 IP
1.92.144.199,Possible Cobaltstrike C2 IP
1.92.79.25,Possible Cobaltstrike C2 IP
1.92.86.239,Possible Cobaltstrike C2 IP
1.92.89.193,Possible Cobaltstrike C2 IP
1.92.93.215,Possible Cobaltstrike C2 IP
1.92.96.35,Possible Cobaltstrike C2 IP
1.94.204.34,Possible Cobaltstrike C2 IP
1.94.56.82,Possible Cobaltstrike C2 IP
1.94.67.222,Possible Cobaltstrike C2 IP
101.126.87.87,Possible Cobaltstrike C2 IP
101.126.94.170,Possible Cobaltstrike C2 IP
101.132.106.244,Possible Cobaltstrike C2 IP
101.132.182.180,Possible Cobaltstrike C2 IP
101.133.156.69,Possible Cobaltstrike C2 IP
101.133.238.18,Possible Cobaltstrike C2 IP
101.200.120.13,Possible Cobaltstrike C2 IP
101.200.142.84,Possible Cobaltstrike C2 IP
101.200.208.94,Possible Cobaltstrike C2 IP
101.200.223.139,Possible Cobaltstrike C2 IP
101.200.223.34,Possible Cobaltstrike C2 IP
101.201.117.192,Possible Cobaltstrike C2 IP
101.201.54.74,Possible Cobaltstrike C2 IP
101.201.56.138,Possible Cobaltstrike C2 IP
101.32.207.185,Possible Cobaltstrike C2 IP
101.32.34.196,Possible Cobaltstrike C2 IP
101.33.210.162,Possible Cobaltstrike C2 IP
101.33.244.132,Possible Cobaltstrike C2 IP
101.34.247.145,Possible Cobaltstrike C2 IP
101.34.53.44,Possible Cobaltstrike C2 IP
101.34.74.132,Possible Cobaltstrike C2 IP
101.35.104.211,Possible Cobaltstrike C2 IP
101.35.2.21,Possible Cobaltstrike C2 IP
101.35.21.69,Possible Cobaltstrike C2 IP
101.35.228.105,Possible Cobaltstrike C2 IP
101.36.111.47,Possible Cobaltstrike C2 IP
101.36.117.53,Possible Cobaltstrike C2 IP
101.37.26.90,Possible Cobaltstrike C2 IP
101.37.31.139,Possible Cobaltstrike C2 IP
101.37.32.248,Possible Cobaltstrike C2 IP
101.42.247.112,Possible Cobaltstrike C2 IP
101.42.4.160,Possible Cobaltstrike C2 IP
101.43.107.209,Possible Cobaltstrike C2 IP
101.43.12.250,Possible Cobaltstrike C2 IP
101.43.125.25,Possible Cobaltstrike C2 IP
101.43.149.199,Possible Cobaltstrike C2 IP
101.43.149.38,Possible Cobaltstrike C2 IP
101.43.157.20,Possible Cobaltstrike C2 IP
101.43.16.149,Possible Cobaltstrike C2 IP
101.43.183.39,Possible Cobaltstrike C2 IP
101.43.198.94,Possible Cobaltstrike C2 IP
101.43.2.116,Possible Cobaltstrike C2 IP
101.43.201.136,Possible Cobaltstrike C2 IP
101.43.211.59,Possible Cobaltstrike C2 IP
101.43.25.166,Possible Cobaltstrike C2 IP
101.43.32.212,Possible Cobaltstrike C2 IP
101.43.42.134,Possible Cobaltstrike C2 IP
101.43.65.230,Possible Cobaltstrike C2 IP
101.43.85.101,Possible Cobaltstrike C2 IP
101.99.75.132,Possible Metasploit C2 IP
101.99.91.101,Possible Metasploit C2 IP
101.99.91.170,Possible Metasploit C2 IP
103.103.0.208,Possible Metasploit C2 IP
103.116.245.79,Possible Cobaltstrike C2 IP
103.118.244.27,Possible Cobaltstrike C2 IP
103.142.102.171,Possible Cobaltstrike C2 IP
103.146.179.112,Possible Cobaltstrike C2 IP
103.146.179.79,Possible Cobaltstrike C2 IP
103.153.68.52,Possible Cobaltstrike C2 IP
103.161.35.65,Possible Cobaltstrike C2 IP
103.194.184.66,Possible Cobaltstrike C2 IP
103.194.184.67,Possible Cobaltstrike C2 IP
103.194.184.68,Possible Cobaltstrike C2 IP
103.194.184.70,Possible Cobaltstrike C2 IP
103.207.68.137,Possible Cobaltstrike C2 IP
103.207.68.204,Possible Cobaltstrike C2 IP
103.207.69.16,Possible Cobaltstrike C2 IP
103.214.173.19,Possible Cobaltstrike C2 IP
103.214.174.101,Possible Cobaltstrike C2 IP
103.225.196.197,Possible Cobaltstrike C2 IP
103.234.98.95,Possible Cobaltstrike C2 IP
103.234.98.96,Possible Cobaltstrike C2 IP
103.234.98.97,Possible Cobaltstrike C2 IP
103.242.3.170,Possible Cobaltstrike C2 IP
103.243.27.128,Possible Cobaltstrike C2 IP
103.251.89.204,Possible Cobaltstrike C2 IP
