#ip,ioc
1.117.72.208,Possible Cobaltstrike C2 IP
1.12.231.30,Possible Cobaltstrike C2 IP
1.13.175.24,Possible Cobaltstrike C2 IP
1.14.157.231,Possible Cobaltstrike C2 IP
1.15.246.91,Possible Cobaltstrike C2 IP
1.15.25.138,Possible Cobaltstrike C2 IP
1.15.25.148,Possible Cobaltstrike C2 IP
1.198.31.227,Possible Cobaltstrike C2 IP
1.71.0.100,Possible Cobaltstrike C2 IP
1.92.109.24,Possible Cobaltstrike C2 IP
1.92.86.239,Possible Cobaltstrike C2 IP
1.94.105.194,Possible Cobaltstrike C2 IP
1.94.108.127,Possible Cobaltstrike C2 IP
1.94.149.77,Possible Cobaltstrike C2 IP
1.94.172.68,Possible Cobaltstrike C2 IP
1.94.221.238,Possible Cobaltstrike C2 IP
1.94.62.205,Possible Cobaltstrike C2 IP
1.94.63.197,Possible Cobaltstrike C2 IP
100.91.154.84,Possible Cobaltstrike C2 IP
101.126.11.79,Possible Cobaltstrike C2 IP
101.132.131.225,Possible Cobaltstrike C2 IP
101.132.173.62,Possible Cobaltstrike C2 IP
101.132.71.240,Possible Cobaltstrike C2 IP
101.133.156.69,Possible Cobaltstrike C2 IP
101.133.224.88,Possible Cobaltstrike C2 IP
101.200.165.71,Possible Cobaltstrike C2 IP
101.200.193.211,Possible Cobaltstrike C2 IP
101.200.241.19,Possible Cobaltstrike C2 IP
101.201.247.232,Possible Cobaltstrike C2 IP
101.226.8.163,Possible Cobaltstrike C2 IP
101.32.109.112,Possible Cobaltstrike C2 IP
101.34.205.214,Possible Cobaltstrike C2 IP
101.34.66.77,Possible Cobaltstrike C2 IP
101.35.109.246,Possible Cobaltstrike C2 IP
101.35.2.21,Possible Cobaltstrike C2 IP
101.35.228.105,Possible Cobaltstrike C2 IP
101.36.117.41,Possible Cobaltstrike C2 IP
101.36.117.53,Possible Cobaltstrike C2 IP
101.37.100.133,Possible Cobaltstrike C2 IP
101.37.34.164,Possible Cobaltstrike C2 IP
101.42.51.184,Possible Cobaltstrike C2 IP
101.43.16.149,Possible Cobaltstrike C2 IP
101.43.166.60,Possible Cobaltstrike C2 IP
101.43.2.116,Possible Cobaltstrike C2 IP
101.43.226.227,Possible Cobaltstrike C2 IP
101.43.91.156,Possible Cobaltstrike C2 IP
101.66.162.82,Possible Cobaltstrike C2 IP
101.91.125.228,Possible Cobaltstrike C2 IP
103.117.141.184,Possible Cobaltstrike C2 IP
103.12.148.33,Possible Cobaltstrike C2 IP
103.12.148.42,Possible Cobaltstrike C2 IP
103.125.248.109,Possible Cobaltstrike C2 IP
103.141.1.36,Possible Cobaltstrike C2 IP
103.164.81.113,Possible Cobaltstrike C2 IP
103.171.35.26,Possible Cobaltstrike C2 IP
103.171.35.66,Possible Cobaltstrike C2 IP
103.189.140.124,Possible Cobaltstrike C2 IP
103.19.190.184,Possible Cobaltstrike C2 IP
103.23.149.233,Possible Cobaltstrike C2 IP
103.235.73.228,Possible Cobaltstrike C2 IP
103.241.72.221,Possible Cobaltstrike C2 IP
103.242.12.203,Possible Cobaltstrike C2 IP
103.254.110.182,Possible Cobaltstrike C2 IP
103.30.40.70,Possible Cobaltstrike C2 IP
103.41.6.33,Possible Cobaltstrike C2 IP
103.41.6.34,Possible Cobaltstrike C2 IP
103.41.6.35,Possible Cobaltstrike C2 IP
103.41.6.36,Possible Cobaltstrike C2 IP
103.41.6.37,Possible Cobaltstrike C2 IP
103.41.6.38,Possible Cobaltstrike C2 IP
103.41.6.39,Possible Cobaltstrike C2 IP
103.41.6.40,Possible Cobaltstrike C2 IP
103.41.6.41,Possible Cobaltstrike C2 IP
103.41.6.42,Possible Cobaltstrike C2 IP
103.41.6.43,Possible Cobaltstrike C2 IP
103.41.6.44,Possible Cobaltstrike C2 IP
103.41.6.45,Possible Cobaltstrike C2 IP
103.41.6.46,Possible Cobaltstrike C2 IP
103.41.6.47,Possible Cobaltstrike C2 IP
103.41.6.48,Possible Cobaltstrike C2 IP
103.41.6.49,Possible Cobaltstrike C2 IP
103.41.6.50,Possible Cobaltstrike C2 IP
103.41.6.51,Possible Cobaltstrike C2 IP
103.41.6.52,Possible Cobaltstrike C2 IP
103.41.6.53,Possible Cobaltstrike C2 IP
103.41.6.54,Possible Cobaltstrike C2 IP
103.41.6.55,Possible Cobaltstrike C2 IP
103.41.6.56,Possible Cobaltstrike C2 IP
103.41.6.57,Possible Cobaltstrike C2 IP
103.41.6.58,Possible Cobaltstrike C2 IP
